temperature,humidity,precipitation,cloudcover,windspeed,year,month,day
18.221368501529053,77.64717125382263,0.04319571865443425,0,10.041590214067279,2015,1,1
18.285995370370372,76.68287037037037,0.02368827160493827,0,9.771643518518518,2015,1,2
18.30023148148148,77.15779320987654,0.03838734567901234,0,9.654475308641976,2015,1,3
18.164930555555557,77.26118827160494,0.035146604938271604,0,10.459645061728395,2015,1,4
18.149807098765432,77.63966049382717,0.05219907407407408,3,10.653163580246913,2015,1,5
18.295408950617283,77.4483024691358,0.043132716049382715,83,10.283950617283951,2015,1,6
18.363657407407405,77.3815586419753,0.031404320987654326,98,9.849691358024693,2015,1,7
18.23672839506173,78.61612654320987,0.02943672839506173,1,9.980787037037038,2015,1,8
18.268904320987655,77.65354938271605,0.01979166666666667,2,9.875077160493827,2015,1,9
18.3108024691358,77.85648148148148,0.03410493827160494,1,9.935648148148148,2015,1,10
18.42619598765432,77.69058641975309,0.03981481481481482,4,9.879591049382716,2015,1,11
18.465625,77.32253086419753,0.024151234567901234,57,10.051273148148148,2015,1,12
18.41118827160494,77.18672839506173,0.025308641975308646,91,9.897646604938272,2015,1,13
18.369984567901234,76.0667438271605,0.02966820987654321,93,9.995563271604938,2015,1,14
18.107523148148147,76.14660493827161,0.03202160493827161,2,9.80235339506173,2015,1,15
18.22222222222222,75.23688271604938,0.03468364197530865,28,9.917399691358025,2015,1,16
18.219174382716048,76.44907407407408,0.01859567901234568,32,9.775655864197532,2015,1,17
18.070987654320987,77.62037037037037,0.051658950617283955,32,10.202893518518518,2015,1,18
18.157021604938272,76.81018518518519,0.038348765432098766,91,10.340972222222222,2015,1,19
18.247878086419753,76.36342592592592,0.041666666666666664,55,10.78275462962963,2015,1,20
18.15270061728395,76.97183641975309,0.02854938271604938,86,10.11057098765432,2015,1,21
18.219328703703702,77.3695987654321,0.03981481481481482,51,10.214236111111111,2015,1,22
18.206442901234567,77.58101851851852,0.051890432098765434,92,9.836226851851851,2015,1,23
18.11523919753086,77.09066358024691,0.03904320987654321,29,9.65462962962963,2015,1,24
18.25,76.69637345679013,0.04787808641975309,34,9.85042438271605,2015,1,25
18.389081790123456,76.07831790123457,0.054205246913580245,0,10.198109567901234,2015,1,26
18.2795524691358,76.44135802469135,0.03001543209876543,0,9.647569444444445,2015,1,27
